Age,Annual_Income,Credit_Score,Loan_Amount,Employment_Years,Dependents,Education,Self_Employed,Loan_Status
60.0,53621.0,633.0,28636.0,35,4,graduate,no,Approved
42.0,84785.0,728.0,94171.0,15,1,graduate,no,Approved
59.0,46540.0,588.0,72007.81615120274,33,4,graduate,yes,Approved
26.0,63299.0,796.0,107399.0,2,3,not graduate,no,Approved
55.0,48949.0,676.0,42417.0,33,3,not graduate,no,Approved
45.0,67994.0,566.0,72567.0,16,0,graduate,no,Rejected
59.0,24578.0,706.0,31437.0,30,2,graduate,no,Approved
49.0,70571.0,667.0,108970.0,20,4,graduate,no,Approved
30.0,31217.0,653.0,43997.0,3,3,graduate,no,Approved
41.0,38533.0,695.0,80123.0,17,1,graduate,no,Approved
59.0,18000.0,607.0,28226.0,35,4,graduate,no,Approved
35.0,37468.0,681.0,82088.0,12,3,not graduate,yes,Approved
42.0,33476.0,771.0,24770.0,15,3,not graduate,no,Approved
28.0,47001.0,634.0,44986.0,0,3,not graduate,yes,Rejected
55.0,40977.0,698.0,36177.0,30,4,graduate,no,Approved
60.0,18000.0,638.0,26244.0,35,3,graduate,no,Approved
53.0,45099.0,732.0,5552.0,28,3,graduate,no,Approved
39.0,43613.0,671.0,72007.81615120274,12,3,graduate,no,Approved
34.0,35736.0,749.0,57493.0,9,4,graduate,no,Approved
55.0,18000.0,716.0,5000.0,35,0,graduate,yes,Approved
48.0,26833.0,678.0,53746.0,19,4,graduate,no,Approved
58.0,59105.0,727.0,76402.0,33,3,graduate,no,Approved
50.0,19923.0,785.0,16647.0,29,4,not graduate,no,Approved
41.45128205128205,43955.0,560.0,74103.0,33,1,graduate,no,Rejected
150.0,54130.0,579.0,61797.0,28,1,not graduate,no,Approved
40.0,19194.0,703.0,34663.0,16,4,graduate,no,Approved
53.0,49391.0,672.0,83646.0,30,1,graduate,no,Approved
52.0,43647.0,720.0,92604.0,27,2,graduate,no,Approved
59.0,42786.0,691.0,82981.0,34,1,graduate,no,Approved
33.0,38382.0,750.0,38456.0,13,0,graduate,yes,Approved
32.0,57275.01202749141,632.0,91247.0,12,0,not graduate,no,Approved
41.0,65102.0,797.0,57359.0,14,2,graduate,no,Approved
45.0,65834.0,631.0,33857.0,22,0,graduate,no,Approved
56.0,1000000.0,623.0,11415.0,35,3,not graduate,no,Approved
32.0,41712.0,616.0,72181.0,8,2,not graduate,no,Rejected
26.0,90830.0,588.0,130436.0,0,0,graduate,no,Rejected
45.0,52887.0,607.0,63856.0,23,4,not graduate,no,Rejected
28.0,78285.0,726.0,145612.0,4,2,graduate,yes,Approved
48.0,49521.0,643.0,102351.0,21,2,not graduate,no,Approved
55.0,66388.0,751.0,101832.0,33,0,graduate,no,Approved
21.0,54825.0,675.0,33670.0,0,3,graduate,no,Approved
42.0,55306.0,805.0,53940.0,14,3,not graduate,no,Approved
21.0,86006.0,760.0,171751.0,0,4,graduate,no,Approved
40.0,99224.0,713.0,180000.0,13,0,not graduate,no,Approved
49.0,86974.0,533.0,180000.0,23,0,not graduate,no,Rejected
46.0,69396.0,587.0,50526.0,18,2,graduate,no,Approved
46.0,78777.0,702.0,74429.0,19,2,not graduate,no,Approved
51.0,89442.0,643.0,68617.0,24,2,graduate,no,Approved
56.0,109017.0,724.0,113599.0,32,2,graduate,no,Approved
50.0,55574.0,769.0,56142.0,30,2,graduate,no,Approved
57.0,21654.0,588.0,16304.0,31,0,graduate,yes,Approved
41.0,76013.0,710.0,63899.0,12,0,graduate,no,Approved
29.0,70967.0,701.0,103915.0,3,2,graduate,no,Approved
44.0,59887.0,573.0,67492.0,17,3,graduate,yes,Rejected
47.0,54279.0,720.0,100.0,24,3,not graduate,no,Approved
39.0,44492.0,580.0,93939.0,12,4,graduate,no,Rejected
56.0,57275.01202749141,821.0,24271.0,35,4,graduate,no,Approved
22.0,57275.01202749141,802.0,22163.0,0,3,not graduate,no,Approved
59.0,18447.0,712.0,47901.0,35,0,graduate,no,Approved
52.0,41967.0,726.0,77590.0,23,1,graduate,no,Approved
38.0,42444.0,548.0,104148.0,15,2,graduate,no,Rejected
26.0,32822.0,722.0,50396.0,3,1,graduate,no,Approved
32.0,30239.0,747.0,45079.0,6,2,graduate,no,Approved
29.0,59066.0,709.0,15442.0,2,2,graduate,no,Approved
27.0,69201.0,687.0,121321.0,0,4,not graduate,no,Approved
41.0,53806.0,622.0,82593.0,13,1,not graduate,no,Rejected
47.0,43500.0,999.0,13350.0,24,0,not graduate,no,Approved
46.0,38108.0,636.0,44275.0,22,2,graduate,no,Approved
44.0,18000.0,767.0,36084.0,19,3,graduate,no,Approved
28.0,74194.0,813.0,38490.0,5,3,not graduate,yes,Approved
56.0,58662.0,710.0,29977.0,27,2,graduate,no,Approved
41.45128205128205,64360.0,766.0,16491.0,30,1,graduate,no,Approved
25.0,32181.0,686.0,5550.0,4,3,graduate,yes,Approved
23.0,60461.0,751.0,81741.0,0,3,not graduate,no,Approved
26.0,67553.0,594.0,58749.0,0,4,graduate,no,Rejected
33.0,94509.0,616.0,92793.0,6,0,not graduate,no,Approved
43.0,42308.0,682.0,5000.0,16,2,graduate,no,Approved
60.0,48229.0,594.0,46596.0,35,1,graduate,no,Approved
58.0,41814.0,749.0,72007.81615120274,31,1,graduate,yes,Approved
37.0,62427.0,803.0,103407.0,10,3,graduate,no,Approved
23.0,40119.0,685.0,9437.0,1,0,graduate,no,Approved
49.0,18000.0,697.0,38072.0,27,0,graduate,yes,Approved
52.0,49713.0,542.0,71307.0,26,0,not graduate,yes,Rejected
43.0,25340.0,675.0,56146.0,16,3,not graduate,yes,Approved
28.0,71729.0,619.0,112954.0,1,0,graduate,yes,Rejected
46.0,76655.0,717.0,170280.0,21,3,not graduate,no,Approved
54.0,69993.0,607.0,98761.0,33,1,graduate,no,Approved
37.0,18000.0,555.0,42762.0,9,1,graduate,no,Rejected
27.0,95677.0,705.0,103717.0,0,3,graduate,no,Approved
45.0,51868.0,728.0,33831.0,23,1,not graduate,no,Approved
37.0,32909.0,745.0,60866.0,8,1,not graduate,no,Approved
48.0,74131.0,689.0,151297.0,22,4,graduate,no,Approved
28.0,76619.0,657.0,18533.0,3,2,graduate,no,Approved
49.0,30161.0,669.0,24705.0,20,4,graduate,no,Approved
22.0,69198.0,810.0,71087.0,0,4,graduate,no,Approved
36.0,48198.0,623.0,35615.0,13,1,graduate,no,Approved
39.0,77972.0,650.0,122270.0,17,2,graduate,no,Approved
22.0,78078.0,754.0,74434.0,0,4,graduate,no,Approved
43.0,65853.0,639.0,60499.0,21,3,not graduate,no,Approved
47.0,96385.0,547.0,169257.0,23,4,not graduate,no,Rejected
57.0,43318.0,682.0,84033.0,29,0,graduate,no,Approved
31.0,46347.0,639.0,58195.0,4,3,graduate,no,Rejected
23.0,36071.0,769.0,36895.0,2,3,graduate,no,Approved
52.0,57275.01202749141,633.0,94610.0,29,3,not graduate,no,Approved
21.0,86683.0,659.0,180000.0,1,3,not graduate,no,Approved
32.0,78441.0,718.0,139860.0,11,2,graduate,yes,Approved
49.0,60153.0,701.0,65267.0,26,0,graduate,no,Approved
22.0,44273.0,628.0,82029.0,0,1,graduate,yes,Rejected
41.45128205128205,83109.0,628.0,168655.0,35,2,graduate,no,Approved
21.0,66856.0,674.0,55236.0,0,2,graduate,no,Rejected
32.0,68703.0,710.0,129791.0,9,4,graduate,no,Approved
22.0,45939.0,756.0,47755.0,0,1,graduate,yes,Approved
38.0,53778.0,759.0,61327.0,12,2,graduate,yes,Approved
60.0,39034.0,569.0,43785.0,35,1,graduate,no,Approved
43.0,64096.0,684.0,98365.0,15,1,graduate,no,Approved
44.0,82232.0,723.0,100778.0,23,4,graduate,yes,Approved
55.0,65766.0,752.0,53452.0,31,4,graduate,no,Approved
38.0,56613.0,638.0,72007.81615120274,14,4,graduate,no,Approved
28.0,45184.0,715.0,79188.0,0,4,graduate,no,Approved
35.0,70598.0,746.0,150358.0,9,2,graduate,yes,Approved
58.0,62192.0,688.0,111119.0,32,1,not graduate,yes,Approved
60.0,20754.0,100.0,30645.0,35,0,graduate,no,Approved
57.0,68374.0,794.0,152904.0,35,3,graduate,no,Approved
31.0,79581.0,708.0,46499.0,9,4,not graduate,no,Approved
27.0,67684.0,563.0,38416.0,2,0,not graduate,yes,Rejected
21.0,74165.0,576.0,42948.0,0,3,graduate,no,Rejected
21.0,58307.0,657.0,117202.0,0,0,graduate,no,Approved
27.0,54172.0,681.0,92009.0,6,0,graduate,no,Approved
48.0,21438.0,605.0,22814.0,25,1,not graduate,no,Approved
59.0,96276.0,746.0,163173.0,35,4,graduate,no,Approved
27.0,70093.0,689.0,114773.0,3,3,not graduate,no,Rejected
55.0,75585.0,694.0,41336.0,29,1,graduate,no,Approved
42.0,39003.0,630.0,48853.0,16,3,graduate,no,Approved
46.0,73346.0,778.0,53297.0,26,1,graduate,no,Approved
22.0,52480.0,637.0,85632.0,0,2,graduate,no,Rejected
34.0,28968.0,661.0,51559.0,12,2,graduate,no,Approved
31.0,23523.0,640.0,16796.0,2,1,graduate,yes,Approved
32.0,59923.0,711.0,22652.0,7,4,graduate,no,Approved
28.0,58309.0,593.0,93970.0,3,2,not graduate,no,Rejected
32.0,43497.0,597.0,108298.0,12,0,not graduate,no,Rejected
39.0,24053.0,663.0,33482.0,17,1,not graduate,yes,Approved
22.0,48801.0,659.0,46933.0,0,3,graduate,no,Approved
43.0,46754.0,718.0,38519.0,22,4,not graduate,no,Approved
55.0,27618.0,630.0,72007.81615120274,26,3,graduate,no,Approved
47.0,57647.0,759.0,28377.0,25,1,graduate,no,Approved
44.0,59324.0,685.0273504273505,109151.0,15,3,graduate,yes,Approved
53.0,49000.0,588.0,46380.0,27,1,graduate,no,Approved
56.0,49073.0,710.0,24274.0,33,2,graduate,no,Approved
22.0,53777.0,628.0,80300.0,0,1,graduate,no,Approved
24.0,56485.0,712.0,91782.0,0,3,graduate,yes,Approved
28.0,42308.0,733.0,50412.0,7,1,graduate,no,Approved
39.0,59925.0,841.0,30036.0,16,2,not graduate,no,Approved
51.0,53026.0,735.0,55297.0,30,1,graduate,no,Approved
48.0,45484.0,849.0,50063.0,21,4,graduate,no,Approved
41.0,79391.0,775.0,43563.0,13,4,graduate,no,Approved
35.0,77641.0,691.0,163592.0,10,0,graduate,no,Approved
26.0,60184.0,553.0,122871.0,2,4,not graduate,no,Rejected
59.0,85407.0,796.0,30957.0,35,1,graduate,no,Approved
45.0,52872.0,741.0,111532.0,20,3,graduate,yes,Approved
43.0,54117.0,563.0,71788.0,18,4,not graduate,yes,Rejected
49.0,63111.0,738.0,120992.0,24,1,graduate,no,Approved
43.0,31697.0,784.0,900000.0,18,1,graduate,no,Approved
52.0,111322.0,689.0,180000.0,28,3,graduate,yes,Approved
59.0,56905.0,606.0,72007.81615120274,31,3,not graduate,no,Approved
55.0,59642.0,678.0,105198.0,27,2,graduate,yes,Approved
44.0,18000.0,667.0,27448.0,15,3,graduate,no,Approved
45.0,80505.0,850.0,157779.0,19,2,graduate,no,Approved
54.0,18000.0,659.0,25036.0,28,4,graduate,no,Approved
47.0,40660.0,662.0,72007.81615120274,25,1,graduate,no,Approved
33.0,63781.0,722.0,77873.0,11,2,graduate,no,Approved
35.0,71352.0,716.0,82558.0,6,2,graduate,no,Approved
32.0,94480.0,729.0,176206.0,8,0,not graduate,no,Approved
42.0,63982.0,664.0,72007.81615120274,16,2,graduate,no,Approved
55.0,23710.0,712.0,44181.0,28,2,not graduate,no,Approved
52.0,62745.0,665.0,13001.0,30,2,not graduate,no,Approved
45.0,52645.0,678.0,58430.0,19,0,not graduate,no,Approved
47.0,45326.0,722.0,90016.0,23,2,graduate,no,Approved
36.0,94621.0,719.0,144738.0,13,1,not graduate,no,Approved
29.0,97007.0,685.0273504273505,138252.0,2,4,graduate,no,Rejected
57.0,20455.0,664.0,72007.81615120274,34,0,graduate,no,Approved
51.0,55623.0,770.0,64410.0,29,2,not graduate,no,Approved
55.0,81543.0,685.0273504273505,36029.0,35,2,graduate,no,Approved
41.45128205128205,36166.0,607.0,10898.0,17,0,graduate,no,Rejected
34.0,61772.0,684.0,123198.0,7,4,graduate,no,Approved
59.0,77316.0,693.0,115361.0,35,4,graduate,no,Approved
22.0,82627.0,656.0,96794.0,0,2,graduate,no,Approved
43.0,26912.0,690.0,25468.0,16,2,graduate,no,Approved
31.0,35235.0,696.0,72007.81615120274,10,1,graduate,no,Approved
21.0,39530.0,668.0,83238.0,0,0,graduate,yes,Approved
38.0,80945.0,656.0,176098.0,13,0,not graduate,no,Approved
48.0,66954.0,769.0,49264.0,19,3,graduate,no,Approved
45.0,18593.0,803.0,12641.0,20,1,graduate,no,Approved
41.0,70686.0,580.0,113080.0,13,0,graduate,no,Rejected
34.0,53362.0,635.0,64613.0,5,4,not graduate,no,Rejected
54.0,54281.0,646.0,66669.0,33,0,graduate,no,Approved
34.0,36052.0,685.0273504273505,65261.0,10,2,graduate,no,Approved
37.0,57275.01202749141,592.0,51746.0,16,4,not graduate,no,Rejected
32.0,83126.0,680.0,38142.0,12,4,graduate,no,Approved
24.0,49594.0,631.0,102733.0,0,1,not graduate,no,Rejected
51.0,44232.0,810.0,96075.0,24,3,not graduate,no,Approved
57.0,82974.0,657.0,94954.0,30,3,not graduate,yes,Approved
53.0,53546.0,801.0,95659.0,33,3,not graduate,no,Approved
40.0,49919.0,698.0,29709.0,15,3,graduate,yes,Approved
58.0,71418.0,752.0,64514.0,33,3,graduate,no,Approved
28.0,59270.0,819.0,90681.0,8,1,graduate,no,Approved
45.0,100336.0,719.0,41207.0,24,3,graduate,no,Approved
23.0,43620.0,720.0,34937.0,0,4,not graduate,no,Approved
23.0,57275.01202749141,519.0,20290.0,2,3,graduate,no,Rejected
41.45128205128205,62447.0,693.0,104312.0,26,2,graduate,no,Approved
56.0,57275.01202749141,722.0,136730.0,30,0,not graduate,yes,Approved
52.0,41254.0,713.0,43432.0,24,3,not graduate,yes,Approved
31.0,60714.0,675.0,115120.0,5,3,graduate,yes,Approved
52.0,59464.0,670.0,89136.0,25,1,graduate,no,Approved
42.0,32417.0,724.0,69806.0,22,4,graduate,no,Approved
48.0,35105.0,705.0,53436.0,24,4,not graduate,no,Approved
48.0,60364.0,592.0,52291.0,19,2,not graduate,no,Approved
41.45128205128205,59309.0,795.0,47751.0,21,4,graduate,no,Approved
59.0,93605.0,679.0,128850.0,35,1,not graduate,no,Approved
25.0,58909.0,731.0,82079.0,0,2,not graduate,no,Approved
33.0,44283.0,602.0,99568.0,6,4,graduate,no,Rejected
59.0,80725.0,694.0,167948.0,32,3,graduate,no,Approved
28.0,122735.0,793.0,77966.0,7,1,graduate,no,Approved
48.0,18000.0,594.0,35514.0,21,4,graduate,no,Approved
23.0,65372.0,703.0,67929.0,0,1,graduate,no,Approved
60.0,80284.0,770.0,72204.0,35,3,graduate,no,Approved
32.0,79631.0,744.0,154945.0,12,2,graduate,no,Approved
46.0,78180.0,737.0,25669.0,20,2,graduate,no,Approved
29.0,26831.0,682.0,8546.0,6,3,graduate,no,Approved
47.0,42969.0,686.0,73275.0,22,3,not graduate,yes,Approved
50.0,37888.0,691.0,48884.0,21,4,graduate,no,Approved
50.0,62358.0,710.0,132832.0,27,1,graduate,yes,Approved
46.0,40686.0,763.0,43506.0,19,4,graduate,yes,Approved
46.0,46022.0,850.0,56388.0,17,1,graduate,no,Approved
49.0,59001.0,606.0,118956.0,29,1,graduate,yes,Approved
53.0,68332.0,613.0,26733.0,27,0,not graduate,no,Approved
56.0,56226.0,752.0,72026.0,27,4,not graduate,no,Approved
36.0,44468.0,793.0,24420.0,7,0,graduate,no,Approved
30.0,40017.0,586.0,54584.0,7,1,not graduate,no,Rejected
37.0,69488.0,590.0,14613.0,17,1,graduate,no,Approved
33.0,70584.0,640.0,91492.0,12,3,graduate,yes,Rejected
41.45128205128205,45178.0,603.0,42656.0,10,1,graduate,no,Approved
49.0,49555.0,758.0,65826.0,27,3,not graduate,no,Approved
59.0,35992.0,601.0,17905.0,35,3,graduate,no,Approved
55.0,22318.0,750.0,33006.0,33,3,graduate,no,Approved
21.0,57115.0,769.0,82554.0,0,2,graduate,no,Approved
51.0,96290.0,683.0,132361.0,24,1,not graduate,yes,Approved
48.0,58759.0,685.0,56352.0,26,4,graduate,yes,Approved
22.0,56630.0,798.0,108043.0,0,3,graduate,no,Approved
31.0,34712.0,648.0,72007.81615120274,5,3,not graduate,no,Rejected
57.0,53895.0,696.0,27079.0,31,4,not graduate,no,Approved
30.0,23144.0,704.0,42466.0,5,0,graduate,no,Approved
41.45128205128205,63364.0,842.0,108889.0,5,3,not graduate,no,Approved
27.0,39597.0,608.0,46342.0,5,1,graduate,no,Approved
39.0,64680.0,645.0,33418.0,19,0,graduate,yes,Approved
36.0,67315.0,736.0,65817.0,15,1,not graduate,no,Approved
25.0,52903.0,674.0,45767.0,0,1,graduate,no,Approved
50.0,59569.0,629.0,134128.0,25,3,not graduate,no,Approved
25.0,41207.0,647.0,40802.0,5,2,graduate,no,Approved
32.0,57818.0,740.0,90557.0,8,3,not graduate,yes,Approved
49.0,30567.0,850.0,34420.0,22,1,not graduate,yes,Approved
43.0,66160.0,850.0,28795.0,14,4,graduate,no,Approved
44.0,42780.0,808.0,88107.0,20,3,graduate,no,Approved
24.0,45441.0,755.0,73542.0,0,0,graduate,no,Approved
23.0,88509.0,735.0,40043.0,3,2,not graduate,no,Approved
53.0,100659.0,685.0273504273505,136516.0,33,1,graduate,no,Approved
52.0,50889.0,780.0,28606.0,25,3,not graduate,no,Approved
29.0,41291.0,703.0,36701.0,0,2,graduate,no,Approved
54.0,50292.0,735.0,46685.0,30,2,not graduate,no,Approved
46.0,112912.0,486.0,180000.0,21,2,not graduate,yes,Rejected
52.0,62175.0,749.0,110492.0,26,3,graduate,no,Approved
41.45128205128205,28358.0,714.0,33901.0,0,1,graduate,no,Approved
34.0,43321.0,652.0,67159.0,14,0,not graduate,no,Approved
57.0,57843.0,774.0,90467.0,35,2,not graduate,no,Approved
53.0,70641.0,597.0,103623.0,28,3,not graduate,no,Approved
53.0,57275.01202749141,684.0,37229.0,25,1,graduate,no,Approved
52.0,67696.0,685.0273504273505,57175.0,28,3,graduate,no,Approved
22.0,50932.0,704.0,23834.0,0,3,graduate,no,Approved
52.0,57275.01202749141,695.0,99635.0,30,4,graduate,no,Approved
57.0,60975.0,831.0,79807.0,29,2,graduate,no,Approved
